sexo,grado_academico,Area_OCDE,experiencia_profesional,anios_experiencia,exp_valid_inst
Femenino,Doctorado, Ciencias sociales,Investigador,16,SI
Masculino,Doctorado, Ciencias naturales,Director,8,NO
Masculino,Doctorado, Ciencias sociales,Director,21,NO
Femenino,Doctorado, Ingeniería y tecnología,Investigador,6,SI
Femenino,Doctorado, Humanidades y artes,Investigador,30,SI
Masculino,Doctorado, Ciencias naturales,Investigador,16,NO
Masculino,Doctorado, Ingeniería y tecnología,Investigador,10,SI
Femenino,Doctorado, Ciencias naturales,Académico,13,NO
Femenino,Doctorado, Ciencias naturales,Director,10,NO
Femenino,Doctorado, Ciencias sociales,Coordinador Académico,20,SI
Masculino,Doctorado, Ingeniería y tecnología,Académico,30,SI
Masculino,Doctorado, Ciencias sociales,Académico,12,NO
Masculino,Doctorado, Ciencias médicas y de la salud,Director,25,SI
Masculino,Doctorado, Ciencias médicas y de la salud,Investigador,19,SI
Masculino,Doctorado, Ciencias sociales,Director,15,SI
Masculino,Doctorado, Ciencias naturales,Coordinador Académico,12,SI
Femenino,Doctorado, Ciencias naturales,Director,16,SI
Masculino,Doctorado, Ciencias sociales,Director,28,NO
Masculino,Doctorado, Ciencias naturales,Director,18,SI
Femenino,Doctorado, Ciencias médicas y de la salud,Investigador,30,SI
Masculino,Doctorado, Ciencias sociales,Académico,20,NO
Masculino,Doctorado, Ciencias sociales,Académico,38,SI
Masculino,Doctorado, Ciencias sociales,Rector,26,SI
Femenino,Doctorado, Ciencias sociales,Director,20,SI
